statefips,year,month,number_schools,share_all_closed_50,share_all_closed_25,share_all_closed_75,share_elem_closed_50,share_elem_closed_25,share_elem_closed_75,share_middlehigh_closed_50,share_middlehigh_closed_25,share_middlehigh_closed_75,mean_all_change,mean_elem_change,mean_middlehigh_change,total_students,state_abbrev,state_name
2,2020,2,393,0.078534029,0.18324608,0.013089005,0.094890513,0.20437956,0.018248174,0.10569106,0.23577236,0.020325202,0.11992964,0.11184921,0.10086895,121979,AK,ALASKA
4,2020,2,1853,0.023952097,0.096352749,0.002721829,0.01879085,0.087418303,0.001633987,0.027615063,0.11297071,0.00251046,0.20091161,0.19697577,0.19475017,1107048,AZ,ARIZONA
5,2020,2,1004,0.00999001,0.052947052,0.000999001,0.00742115,0.044526901,0.001855288,0.013207547,0.060377359,0,0.3292326,0.31934273,0.34020773,466100,AR,ARKANSAS
6,2020,2,9005,0.01587479,0.10173281,0.002683063,0.013696224,0.10061458,0.002633889,0.020982355,0.10491178,0.003099666,0.12699944,0.11179187,0.15177567,5860355,CA,CALIFORNIA
8,2020,2,1800,0.016797312,0.06550952,0.005039194,0.018766755,0.067024127,0.005361931,0.024691358,0.074074075,0.008978676,0.22715719,0.22147393,0.22731814,881399,CO,COLORADO
9,2020,2,1076,0.01314554,0.054460093,0.001877934,0.014729951,0.062193125,0.003273323,0.006185567,0.037113402,0,0.28253633,0.25520453,0.31848636,511431,CT,CONNECTICUT
10,2020,2,203,0.014778325,0.029556651,0.004926108,0.015384615,0.030769231,0.007692308,0.010526316,0.021052632,0,0.32801029,0.30410689,0.34836778,130365,DE,DELAWARE
11,2020,2,194,0.046391752,0.33505154,0.005154639,0.053846154,0.35384616,0.007692308,0.03809524,0.32380953,0.00952381,-0.10302169,-0.12507321,-0.099809207,76925,DC,DISTRICT OF COLUMBIA
12,2020,2,3841,0.019674711,0.081059813,0.002885624,0.016702356,0.073233403,0.002141328,0.023991833,0.091373153,0.004083716,0.14368409,0.14023013,0.14948118,2844227,FL,FLORIDA
13,2020,2,2232,0.009874327,0.051615801,0.001795332,0.01006192,0.047213621,0.001547988,0.010837439,0.060098521,0.002955665,0.27277184,0.25429484,0.29229495,1701728,GA,GEORGIA
15,2020,2,267,0.007490637,0.048689138,0,0.010695187,0.04812834,0,0.009345794,0.046728972,0,0.22438382,0.20214266,0.26952097,174730,HI,HAWAII
16,2020,2,690,0.020378457,0.064046577,0.002911208,0.029268293,0.075609758,0.002439024,0.010989011,0.060439561,0.002747253,0.29240403,0.29691905,0.29619369,297083,ID,IDAHO
17,2020,2,3904,0.010020555,0.039054472,0.002055499,0.011966494,0.041483846,0.002393299,0.008715596,0.041743118,0.002293578,0.3239291,0.29561767,0.33984968,1974814,IL,ILLINOIS
18,2020,2,1822,0.010456797,0.033021465,0.003852504,0.010416667,0.035590276,0.004340278,0.010701546,0.029726516,0.002378121,0.34379604,0.31402212,0.38137567,1029503,IN,INDIANA
19,2020,2,1307,0.011556241,0.02696456,0.00385208,0.011157601,0.030683404,0.0027894,0.011217949,0.020833334,0.004807693,0.50306785,0.46254838,0.55545753,493966,IA,IOWA
20,2020,2,1310,0.003825555,0.022188216,0.001530222,0.003880983,0.02457956,0.001293661,0.00304414,0.01674277,0.00152207,0.3805542,0.37045795,0.39560252,486184,KS,KANSAS
21,2020,2,1378,0.013148284,0.046749454,0.003652301,0.0124533,0.042341221,0.00373599,0.014577259,0.056851313,0.002915452,0.34424534,0.31881085,0.37673858,708262,KY,KENTUCKY
22,2020,2,1278,0.015673982,0.050156739,0.005485893,0.019277109,0.059036143,0.006024096,0.012820513,0.044159543,0.002849003,0.30497566,0.28755581,0.3339372,683769,LA,LOUISIANA
23,2020,2,561,0.016157988,0.075403951,0.003590664,0.02253521,0.09295775,0.005633803,0.017301038,0.076124564,0.003460208,0.35139364,0.31264961,0.38470423,175862,ME,MAINE
24,2020,2,1362,0.013254787,0.050810013,0.005891016,0.015555556,0.056666669,0.006666667,0.013559322,0.052542374,0.010169491,0.25722343,0.23605534,0.26733109,877321,MD,MARYLAND
25,2020,2,1740,0.009237875,0.046766743,0.002886836,0.010045663,0.055707764,0.002739726,0.010309278,0.039948452,0.003865979,0.28234023,0.24262151,0.32330045,928272,MA,MASSACHUSETTS
26,2020,2,3253,0.013576057,0.050910212,0.003394014,0.014629049,0.051201671,0.003134796,0.015461071,0.056874655,0.003865268,0.29715073,0.28324914,0.30108401,1489765,MI,MICHIGAN
27,2020,2,1978,0.013824885,0.04966718,0.003072197,0.010628019,0.046376813,0.001932367,0.01782364,0.059099436,0.003752345,0.34299043,0.31518126,0.36166278,864725,MN,MINNESOTA
28,2020,2,961,0.00524659,0.035676811,0.002098636,0.00750469,0.033771105,0.003752345,0.003752345,0.039399624,0,0.39517558,0.36618951,0.41805276,502072,MS,MISSISSIPPI
29,2020,2,2213,0.009986382,0.037221972,0.003177485,0.009230769,0.036153845,0.003846154,0.010685664,0.040961709,0.001780944,0.38431188,0.36050743,0.410748,897849,MO,MISSOURI
30,2020,2,690,0.030257186,0.11043873,0.006051437,0.033536587,0.11280487,0.009146341,0.03183024,0.11671088,0.00265252,0.2945101,0.23758011,0.32591143,140311,MT,MONTANA
