date,country,cases,deaths
3/1/2021,United States,28680136,514404
3/2/2021,United States,28737927,515710
3/3/2021,United States,28804641,518079
3/4/2021,United States,28872001,520028
3/5/2021,United States,28937740,522511
3/6/2021,United States,28994344,523970
3/7/2021,United States,29034497,524646
3/8/2021,United States,29133076,525466
3/9/2021,United States,29189059,527351
3/10/2021,United States,29247447,528825
3/11/2021,United States,29309896,530349
3/12/2021,United States,29374270,532054
3/13/2021,United States,29423925,533904
3/14/2021,United States,29461999,534473
3/15/2021,United States,29519112,535226
3/16/2021,United States,29573703,536470
3/17/2021,United States,29632641,537647
3/18/2021,United States,29693243,539203
3/19/2021,United States,29753990,540717
3/20/2021,United States,29808476,541489
3/21/2021,United States,29842744,541937
3/22/2021,United States,29897467,542585
3/23/2021,United States,29954348,543477
3/24/2021,United States,30034250,545067
3/25/2021,United States,30103562,546337
3/26/2021,United States,30178214,547597
3/27/2021,United States,30238960,548377
3/28/2021,United States,30283543,548867
3/29/2021,United States,30354484,549552
3/30/2021,United States,30416822,550499
3/31/2021,United States,30484890,551633
4/1/2021,United States,30562166,552590
4/2/2021,United States,30630953,553549
4/3/2021,United States,30694938,554302
4/4/2021,United States,30731840,554574
4/5/2021,United States,30808695,555104
4/6/2021,United States,30870698,556013
4/7/2021,United States,30943676,558578
4/8/2021,United States,31024354,559580
4/9/2021,United States,31105794,560525
4/10/2021,United States,31170575,561229
4/11/2021,United States,31218641,561530
4/12/2021,United States,31291027,562000
4/13/2021,United States,31368478,562983
4/14/2021,United States,31444274,563918
4/15/2021,United States,31518021,564835
4/16/2021,United States,31596391,565769
4/17/2021,United States,31649287,566446
4/18/2021,United States,31690899,566804
4/19/2021,United States,31761236,567287
4/20/2021,United States,31820191,568083
